dataMatrix	C100a	C100b	C100c
M86.0965	1313797.61844021	2346283.61756864	2199831.8940868
M89.5775	NA	NA	NA
M89.5944	NA	NA	NA
M89.6051	NA	NA	NA
M90.9767	5106007.35482488	6564507.32105305	6447733.55546476
M93.9829	NA	NA	NA
M93.9873	NA	NA	NA
M93.9950	NA	NA	NA
M94.0000	NA	NA	NA
M94.0078	NA	NA	NA
M94.0124	NA	NA	NA
M94.0234	NA	NA	NA
M94.0262	NA	NA	NA
M94.0321	NA	NA	NA
M94.0362	NA	NA	NA
M94.0401	NA	NA	NA
M94.0425	NA	NA	NA
M94.0437	NA	NA	NA
M94.0552	NA	NA	NA
M94.0991	NA	NA	NA
M94.1052	NA	NA	NA
M94.1167	NA	NA	NA
M94.1242	NA	NA	NA
M94.1339	NA	NA	NA
M94.1356	NA	NA	NA
M94.1397	NA	NA	NA
M94.1445	NA	NA	NA
M94.1538	NA	NA	NA
M95.0604	685629.13713184	993375.02882652	875626.486232038
M96.9218	11555241.0234047	11798830.9597099	13629842.0824619
M97.0761	1114447.34533038	1167650.73440278	987109.64945019
M98.9189	3036892.14294779	2897574.20676409	2879965.62034251
M102.0550	425296.351333251	562287.354221277	NA
M102.0914	3405898.45991167	3405365.30747783	NA
M103.9379	NA	NA	NA
M103.9419	NA	NA	NA
M104.1070	NA	NA	NA
M105.0699	4302867.69309973	4844241.85637734	3733356.71721098
M109.0760	7482333.50573563	7749454.43356407	6629390.30420811
M112.8957	11121448.9424704	11023618.7533977	11020725.581527
M114.0662	3787927.88423462	4219228.56920995	4175211.94282092
M114.8928	2599676.24720123	2710556.01072404	2784568.84757635
M115.0542	7559851.1229425	7681057.45130294	5517374.77626431
M116.0706	22245233.8553328	22803669.3222943	23491347.9559748
M117.0573	2748979.07162588	2538668.17223273	2174237.92100802
M117.0699	5790263.22958525	4875814.61521518	4148891.43451485
M118.0651	9770801.94760909	9328622.47944978	9104132.1653589
M118.0862	27308207.5048995	28200166.5313722	29895881.538737
M120.0655	2294414.34871079	2336845.67214873	2491247.14498326
M120.0808	2872417.82916936	2263221.21507969	2327238.94823518
M120.9661	603722.847061515	NA	573795.21966387
M121.0509	122658259.614793	104503127.137474	94239375.1646403
M121.9045	NA	NA	NA
M121.9232	NA	NA	NA
M121.9247	NA	NA	NA
M121.9269	NA	NA	NA
M121.9333	NA	NA	NA
M121.9391	NA	NA	NA
M121.9520	NA	NA	NA
M121.9738	NA	NA	NA
M121.9760	NA	NA	NA
M121.9938	NA	NA	NA
M122.0100	NA	NA	NA
M122.0542	4513962.08223987	3201210.5171773	4014449.66768367
M122.0579	NA	NA	NA
M122.0995	NA	NA	NA
M122.1256	NA	NA	NA
M122.1598	NA	NA	NA
M126.1026	81499099.8245328	124635981.19873	111163001.300936
M127.1059	6012736.00869722	5472794.82842695	4871879.07593195
M128.0494	23952127.8478598	19058160.3422955	17601743.7731112
M129.0658	988215.070873834	1040340.62937073	854623.945932545
M130.0498	1955847.68063145	2232763.20934855	2467285.5945456
M130.0862	1085605.25319448	1465336.20457251	1829782.12060952
M130.1087	319305323.249651	290908568.308084	265409459.287951
M131.0815	596446.53961781	691807.982855779	NA
M131.1057	3682474.54143962	2036935.67466124	2660637.56292433
M131.1120	9785332.21473518	8692010.96517718	8288068.26203035
M132.0655	3790320.10909363	4035488.20961741	4165651.60338819
M132.0767	2762213.88476255	3202180.90847702	2909373.90206213
M132.1019	58938805.9629904	60083542.3860023	57646862.9011984
M133.0971	1526239.14803199	1680743.18492953	1793790.93561658
M133.1052	1806771.72880841	1958263.70045634	2116383.2046456
M134.0448	563310.367045782	550778.627756037	NA
M134.0964	69015365.274054	65428953.2448955	57158814.3360672
M134.9884	1350501.82892699	1316365.41719993	NA
M135.0028	16443026.4661012	19052105.7436914	19213830.3866995
M135.0301	NA	NA	NA
M135.0998	3994966.42947665	3704548.05397512	3390018.27395486
M136.0757	39193123.0686269	35076700.2394653	34902125.3884823
M137.0573	174483.88016119	NA	392859.082029682
M137.0790	NA	NA	NA
M138.9065	3223615.48922233	3546765.26098753	3392576.37740282
M140.0682	1818996.32930819	2415629.65322842	2917498.22244721
M140.9035	2335282.31470032	1853902.13392931	2281789.26368724
M142.0651	3906512.29507626	3220352.83524359	3167557.04507274
M142.9183	736798.97485138	1061687.7839917	NA
M142.9480	2307463.66917123	2250722.87257071	2351350.55197038
M143.0328	5386144.58120333	4749164.85681901	4731307.64478276
M144.1019	1682911.40914242	1271101.49598748	2087330.56210117
M144.9921	1790246.49611938	1873958.00767876	1480093.601008
M145.0133	NA	NA	NA
M146.0600	17590387.2130479	13659785.9729641	12675286.4206461
M147.0916	NA	NA	NA
M147.1128	8512593.29292088	10150250.3201434	10101324.4419097
M148.0604	28982094.8251359	31985353.2265509	32066678.2714451
M148.0845	NA	NA	NA
M150.1124	89201989.3462266	78695119.6848129	66393875.3249239
M151.1158	3532347.93994054	2992164.73520349	2309766.43474961
M152.0566	98329634.8674716	80461550.6655116	70907120.4870534
M152.0620	66914302.448971	53291355.6001184	49405976.6179309
M152.9990	1487856.94812769	2139400.60180442	1973078.39147367
M153.0600	2530600.22228531	1575590.53187766	2043353.16447424
M153.0654	5551057.96416431	4540837.64408771	3503494.98969178
M154.0838	1602212.06413254	2125973.42930982	2237018.39534314
M154.9417	833201.633544392	981192.080355708	NA
M156.0767	7180203.55184552	7432312.21964443	8066032.83703485
M158.1175	2575955.40522541	2819248.38165613	2967060.23322334
