variableMetadata	mzMed	mzMin	mzMax	sizeSamp	scanMin	scanMax	nPeaks	meanSolvent	timeShifted	signalOverSolventPvalueMean	corSampPeakMean	corSampPeakSd	signalOverSolventRatioMean	variableID
M86.0965	86.0965189329336	86.0962219238281	86.0969924926758	62	15	85	3	0	0	0	0.490097337801816	0.0697999471339703	Inf	M86.0965
M89.5775	89.577503377741	89.5766754150391	89.5781402587891	59	27	86	1	0	0	0	0.233038195065752	NA	Inf	M89.5775
M89.5944	89.5943771938108	89.5933990478516	89.5950241088867	69	15	84	1	0	0	0	0.502256904366894	NA	Inf	M89.5944
M90.9767	90.9767066127749	90.975700378418	90.9774398803711	76	15	100	6	27745.7744302515	0	0	0.794985288610089	0.063211057390445	11.4289159831011	M90.9767
M93.9796	93.9795709654342	93.9789962768555	93.9802169799805	86	15	101	1	3156.16617257254	0	0	0.322398439814375	NA	13.1021304707871	M93.9796
M93.9829	93.982937387518	93.9816589355469	93.9840393066406	67	15	89	2	3517.55323282878	0	4.23152093365076e-08	0.370110810169975	0.100214928499503	14.7382987089079	M93.9829
M93.9846	93.9845717921401	93.9835510253906	93.9851684570312	60	25	85	1	2412.86033935547	0	0	0.262871146752161	NA	17.339660507355	M93.9846
M93.9857	93.985725402832	93.9848937988281	93.9861145019531	63	15	78	1	2756.41461181641	0	2.6892177690474e-05	0.415873477902252	NA	14.431230560704	M93.9857
M93.9950	93.9950324348781	93.994384765625	93.9957275390625	65	23	88	1	2304.24888102214	0	0	0.457639946283794	NA	21.9488050728025	M93.9950
M94.0000	94.000032500426	93.9993209838867	94.0006256103516	68	15	83	1	4834.00592041016	0	0	0.264023916300747	NA	12.8192023875339	M94.0000
M94.0078	94.0078254629064	94.0072174072266	94.008430480957	69	15	84	1	0	0	0	0.177004712241934	NA	Inf	M94.0078
M94.0124	94.0124465985536	94.0117416381836	94.0132141113281	64	24	88	1	0	0	0	0.404388877395699	NA	Inf	M94.0124
M94.0174	94.0173825687832	94.0166091918945	94.0180206298828	62	24	86	1	0	0	0	0.477190042174375	NA	Inf	M94.0174
M94.0209	94.0208812366832	94.0201263427734	94.0214691162109	60	27	87	1	0	0	0	0.424007317567329	NA	Inf	M94.0209
M94.0219	94.0219410260518	94.021125793457	94.022575378418	59	26	85	1	0	0	0	0.327852592838663	NA	Inf	M94.0219
M94.0266	94.0265735349537	94.0256805419922	94.0277557373047	72	15	88	2	0	0	0	0.394647835213055	0.138418696408231	Inf	M94.0266
M94.0401	94.0401373142149	94.0394821166992	94.0407485961914	61	27	88	1	0	0	0	0.433761385235671	NA	Inf	M94.0401
M94.0412	94.0412086607918	94.0401000976562	94.0417709350586	85	15	100	1	1766.9701944987	0	0.000498068851944922	0.433007270262757	NA	35.0611157384355	M94.0412
M94.0425	94.0425210952759	94.0419921875	94.0430221557617	61	24	85	1	2939.76455688477	0	1.32193057702512e-05	0.270933386083785	NA	16.1648511285152	M94.0425
M94.0437	94.0437175205776	94.0431671142578	94.0442962646484	62	26	88	1	0	0	0	0.560110364460124	NA	Inf	M94.0437
M94.1167	94.1166954888238	94.1156387329102	94.1173706054688	61	19	80	1	1817.65383911133	0	0	0.290258662830302	NA	24.4934294742746	M94.1167
M94.1227	94.1226978602554	94.1218414306641	94.123405456543	60	21	81	1	0	0	0	0.443929804895817	NA	Inf	M94.1227
M94.1404	94.140423539756	94.1396789550781	94.1410675048828	60	19	79	1	0	0	0	0.471869339461734	NA	Inf	M94.1404
M94.1538	94.1537829312411	94.1530380249023	94.154426574707	60	21	81	1	0	0	0	0.225565425438764	NA	Inf	M94.1538
M95.0604	95.0604486248377	95.0599975585938	95.0607986450195	68	21	95	3	0	0	0	0.153920185621522	0.22384691660182	Inf	M95.0604
M96.9218	96.921836335108	96.9212112426758	96.9220886230469	62	15	88	3	0	0	0	0.914025132833363	0.0160330192768463	Inf	M96.9218
M97.0761	97.0760913028895	97.0756530761719	97.0768127441406	72	17	100	3	0	0	0	0.171503102605402	0.17730173536327	Inf	M97.0761
M98.9189	98.9188891128755	98.9184875488281	98.9192733764648	60	19	89	3	0	0	0	0.710686331516817	0.0494673455716299	Inf	M98.9189
M98.9842	98.9842413522457	98.984016418457	98.9849548339844	103.5	21	129	2	3575.55686645508	0	1.53242592689784e-05	-0.682219620349036	0.0465082450427449	32.853822541187	M98.9842
M102.0549	102.054942986904	102.054145812988	102.055107116699	86	17	103	1	0	0	0	-0.323753940386478	NA	Inf	M102.0549
M102.0914	102.091387231571	102.090888977051	102.091827392578	65	15	83	3	2631.06536017524	0	0	0.525433696011661	0.0642998555219598	60.9971392087834	M102.0914
M103.9195	103.919523073592	103.918594360352	103.920143127441	65	27	92	1	0	0	0	0.332644773944708	NA	Inf	M103.9195
M103.9419	103.941940524714	103.940971374512	103.942558288574	79	21	100	1	0	0	0	-0.00270549890843898	NA	Inf	M103.9419
M105.0699	105.069903960595	105.06950378418	105.070068359375	72	15	95	3	0	0	0	0.75908496644756	0.0710984909471222	Inf	M105.0699
M109.0760	109.076044828995	109.07551574707	109.076278686523	75	15	100	3	0	0	0	0.595486343651327	0.116242397493932	Inf	M109.0760
M112.8957	112.895723540207	112.895500183105	112.895957946777	60	15	85	3	0	0	0	0.871357797394853	0.0297149944328982	Inf	M112.8957
M114.0662	114.066191938587	114.065643310547	114.066436767578	65	15	100	3	0	0	0	0.617335706611134	0.0570559858606731	Inf	M114.0662
M114.8928	114.892771402995	114.892677307129	114.89289855957	63	18	87	3	0	0	0	0.721507343659052	0.0134538525141108	Inf	M114.8928
M115.0542	115.05422565645	115.053596496582	115.054382324219	67	15	90	3	0	0	0	0.810577617383747	0.0509185990577322	Inf	M115.0542
M116.0706	116.070605011029	116.069999694824	116.071151733398	67	16	86	3	2299.6918226454	0	0	0.902258238195639	0.0213352009652274	Inf	M116.0706
M117.0573	117.057290697855	117.056968688965	117.057456970215	64	20	100	3	0	0	0	0.558341280710228	0.0505472258216464	Inf	M117.0573
M117.0699	117.069866410221	117.069313049316	117.070053100586	72	15	95	3	0	0	0	0.795214312380929	0.0412503882011008	Inf	M117.0699
M118.0651	118.065112529357	118.064384460449	118.065460205078	69	16	90	3	0	0	0	0.808867539293211	0.048287161127719	Inf	M118.0651
M118.0862	118.086245439637	118.085639953613	118.086700439453	69	15	89	3	5400.87947876505	0	0	0.926108549749759	0.0150419647963809	150.809912579408	M118.0862
M120.0655	120.065502075922	120.06534576416	120.065979003906	71	15	95	3	0	0	0	0.472219128080081	0.0652116893335988	Inf	M120.0655
M120.0808	120.080758621444	120.080612182617	120.08097076416	67	15	100	3	0	0	0	0.521681773193786	0.0789584529115262	Inf	M120.0808
M120.9661	120.96610646189	120.965972900391	120.966285705566	104	23	133	3	0	1	0	NA	NA	Inf	M120.9661
